date,	opponent,	result,	nz_points,	opponent_points
Sat 5th Oct 2013  5:00pm,	South Africa,	win,	38,	27
Sat 28th Sep 2013  7:40pm,	Argentina,	win,	33,	15
Sat 14th Sep 2013  7:35pm,	South Africa,	win,	29,	15
Sat 7th Sep 2013  7:35pm,	Argentina,	win,	28,	13
Sat 24th Aug 2013  7:35pm,	Australia,	win,	27,	16
Sat 17th Aug 2013  8:05pm,	Australia,	win,	47,	29
Sat 22nd Jun 2013  7:35pm,	France,	win,	24,	9
Sat 15th Jun 2013  7:35pm,	France,	win,	30,	0
Sat 8th Jun 2013  7:35pm,	France,	win,	23,	13
Sat 1st Dec 2012  2:30pm,	England,	loss,	21,	38
Sat 24th Nov 2012  5:15pm,	Wales,	win,	33,	10
Sat 17th Nov 2012  3:00pm,	Italy,	win,	42,	10
Sun 11th Nov 2012  2:30pm,	Scotland,	win,	51,	22
Sat 20th Oct 2012  8:05pm,	Australia,	loss,	18,	18
Sat 6th Oct 2012  5:00pm,	South Africa,	win,	32,	16
Sat 29th Sep 2012  8:10pm,	Argentina,	win,	54,	15
Sat 15th Sep 2012  7:35pm,	South Africa,	win,	21,	11
Sat 8th Sep 2012  7:35pm,	Argentina,	win,	21,	5
Sat 25th Aug 2012  7:35pm,	Australia,	win,	22,	0
Sat 18th Aug 2012  8:05pm,	Australia,	win,	27,	19
Sat 23rd Jun 2012  7:35pm,	Ireland,	win,	60,	0
Sat 16th Jun 2012  7:35pm,	Ireland,	win,	22,	19
Sat 9th Jun 2012  7:35pm,	Ireland,	win,	42,	10
Sun 23rd Oct 2011  9:00pm,	France,	win,	8,	7
Sun 16th Oct 2011  9:00pm,	Australia,	win,	20,	6
Sun 9th Oct 2011  8:30pm,	Argentina,	win,	33,	10
Sun 2nd Oct 2011  3:30pm,	Canada,	win,	79,	15
Sat 24th Sep 2011  8:30pm,	France,	win,	37,	17
Fri 16th Sep 2011  8:00pm,	Japan,	win,	83,	7
Fri 9th Sep 2011  8:30pm,	Tonga,	win,	41,	10
Sat 27th Aug 2011  8:05pm,	Australia,	loss,	20,	25
Sat 20th Aug 2011  5:00pm,	South Africa,	loss,	5,	18
Sat 6th Aug 2011  7:35pm,	Australia,	win,	30,	14
Sat 30th Jul 2011  7:35pm,	South Africa,	win,	40,	7
Fri 22nd Jul 2011  7:35pm,	Fiji,	win,	60,	14
Sat 27th Nov 2010  5:15pm,	Wales,	win,	37,	25
Sat 20th Nov 2010  5:15pm,	Ireland,	win,	38,	18
Sat 13th Nov 2010  5:15pm,	Scotland,	win,	49,	3
Sat 6th Nov 2010  2:30pm,	England,	win,	26,	16
Sat 30th Oct 2010  4:30pm,	Australia,	loss,	24,	26
Sat 11th Sep 2010  8:00pm,	Australia,	win,	23,	22
Sat 21st Aug 2010  5:00pm,	South Africa,	win,	29,	22
Sat 7th Aug 2010  7:35pm,	Australia,	win,	20,	10
Sat 31st Jul 2010  8:00pm,	Australia,	win,	49,	28
Sat 17th Jul 2010  7:35pm,	South Africa,	win,	31,	17
Sat 10th Jul 2010  7:35pm,	South Africa,	win,	32,	12
Sat 26th Jun 2010  7:35pm,	Wales,	win,	29,	10
Sat 19th Jun 2010  7:35pm,	Wales,	win,	42,	9
Sat 12th Jun 2010  7:35pm,	Ireland,	win,	66,	28
Sat 5th Dec 2009  2:30pm,	Barbarians,	loss,	18,	25
Sat 28th Nov 2009  8:45pm,	France,	win,	39,	12
Sat 21st Nov 2009  2:30pm,	England,	win,	19,	6
Sat 14th Nov 2009  3:05pm,	Italy,	win,	20,	6
Sat 7th Nov 2009  5:15pm,	Wales,	win,	19,	12
Sat 31st Oct 2009  5:30pm,	Australia,	win,	32,	19
Sat 19th Sep 2009  7:35pm,	Australia,	win,	33,	6
Sat 12th Sep 2009  7:35pm,	South Africa,	loss,	29,	32
Sat 22nd Aug 2009  8:00pm,	Australia,	win,	19,	18
Sat 1st Aug 2009  5:00pm,	South Africa,	loss,	19,	31
Sat 25th Jul 2009  3:00pm,	South Africa,	loss,	19,	28
Sat 18th Jul 2009  7:35pm,	Australia,	win,	22,	16
Sat 27th Jun 2009  7:35pm,	Italy,	win,	27,	6
Sat 20th Jun 2009  7:45pm,	France,	win,	14,	10
Sat 13th Jun 2009  7:45pm,	France,	loss,	22,	27
Sat 29th Nov 2008  2:35pm,	England,	win,	32,	6
Sat 22nd Nov 2008  5:15pm,	Wales,	win,	29,	9
